alpha,epsilon,tau,lambda,data_model_type,data_model_name,problem_type
0.50000000,0.00000000,0.00000000,0.04476852,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.20000000,0.00000000,0.04560451,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.40000000,0.00000000,0.04445664,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.60000000,0.00000000,0.04068207,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.80000000,0.00000000,0.03374779,VanillaGaussian,VanillaGaussian,Logistic
2.87500000,0.00000000,0.00000000,0.00991269,VanillaGaussian,VanillaGaussian,Logistic
5.25000000,0.00000000,0.00000000,0.00363750,VanillaGaussian,VanillaGaussian,Logistic
2.87500000,0.20000000,0.00000000,0.00834869,VanillaGaussian,VanillaGaussian,Logistic
7.62500000,0.00000000,0.00000000,0.00182096,VanillaGaussian,VanillaGaussian,Logistic
7.62500000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.25000000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
2.87500000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.25000000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
2.87500000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
7.62500000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.80000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.60000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.00000000,0.00000000,0.00108195,VanillaGaussian,VanillaGaussian,Logistic
7.62500000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.25000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
2.87500000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.25000000,0.20000000,0.00000000,0.00079353,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.20000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
7.62500000,0.20000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
1.00000000,0.00000000,0.00000000,0.03155766,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.00000000,0.00000000,0.01626676,VanillaGaussian,VanillaGaussian,Logistic
1.00000000,0.10000000,0.00000000,0.03220607,VanillaGaussian,VanillaGaussian,Logistic
1.00000000,0.05000000,0.00000000,0.03197086,VanillaGaussian,VanillaGaussian,Logistic
1.00000000,0.15000000,0.00000000,0.03224114,VanillaGaussian,VanillaGaussian,Logistic
3.00000000,0.00000000,0.00000000,0.00929582,VanillaGaussian,VanillaGaussian,Logistic
1.00000000,0.20000000,0.00000000,0.03204862,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.10000000,0.00000000,0.01662483,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.15000000,0.00000000,0.01631250,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.05000000,0.00000000,0.01658926,VanillaGaussian,VanillaGaussian,Logistic
3.00000000,0.15000000,0.00000000,0.00876756,VanillaGaussian,VanillaGaussian,Logistic
3.00000000,0.05000000,0.00000000,0.00951197,VanillaGaussian,VanillaGaussian,Logistic
3.00000000,0.10000000,0.00000000,0.00936861,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.20000000,0.00000000,0.01558666,VanillaGaussian,VanillaGaussian,Logistic
3.00000000,0.20000000,0.00000000,0.00762166,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.25000000,0.00000000,0.00337565,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.28750000,0.00000000,0.00176686,VanillaGaussian,VanillaGaussian,Logistic
5.00000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
4.25000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
5.00000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.40000000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
4.25000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.32500000,0.00000000,0.00007643,VanillaGaussian,VanillaGaussian,Logistic
5.00000000,0.32500000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
4.25000000,0.25000000,0.00000000,0.00092033,VanillaGaussian,VanillaGaussian,Logistic
3.50000000,0.36250000,0.00000000,0.00000001,VanillaGaussian,VanillaGaussian,Logistic
